time,rice,corn,acacia,fallow,regrowth,medium,poor,rich,total
1.0,3.825E7,2.64E7,6.594888888888889E7,0.0,5.6286E8,7.0612E8,2.3880000000000004E7,5.008851111111112E9,6.43231E9
2.0,3.465E7,2.67E7,1.2560444444444445E8,0.0,8.467155555555556E8,7.473244444444444E8,2.517E7,4.993326666666667E9,6.799491111111112E9
3.0,2.721E7,2.67E7,1.523511111111111E8,0.0,1.1369955555555556E9,7.953022222222223E8,2.673E7,4.99E9,7.155288888888889E9
4.0,3.135E7,2.67E7,1.671666666666667E8,0.0,1.4211133333333335E9,8.52311111111111E8,2.9010000000000004E7,4.99E9,7.517651111111111E9
5.0,3.021E7,2.67E7,1.6690444444444445E8,3860333.3333333335,1.6786155555555556E9,8.985955555555556E8,3.0930000000000004E7,4.99E9,7.825815888888889E9
6.0,2.52E7,2.67E7,1.6821555555555558E8,4517633.333333334,1.956702222222222E9,9.533466666666667E8,3.273E7,4.99E9,8.157412077777778E9
7.0,2.73E7,2.67E7,1.735911111111111E8,8972666.666666668,1.865317777777778E9,1.0154355555555556E9,3.42E7,4.99E9,8.141517111111111E9
